epoch,False Positives (Negative),False Positives (Neutral),False Positives (Positive),False Negatives (Negative),False Negatives (Neutral),False Negatives (Positive),Training Accuracy,Validation Accuracy
1,77,67,59,39,50,114,0.5199286341667175,0.637499988079071
2,65,43,60,28,60,80,0.707317054271698,0.699999988079071
3,73,36,44,22,51,80,0.7911956906318665,0.7267857193946838
4,45,35,49,26,49,54,0.8358120322227478,0.7696428298950195
5,43,38,40,25,37,59,0.8750743865966797,0.7839285731315613
6,59,36,30,14,41,70,0.8976799249649048,0.7767857313156128
7,33,40,57,33,44,53,0.8976799249649048,0.7678571343421936
8,46,25,49,18,55,47,0.906603217124939,0.7857142686843872
9,49,39,33,22,37,62,0.925044596195221,0.7839285731315613
10,45,34,36,16,44,55,0.9393218159675598,0.7946428656578064
11,51,31,41,16,46,61,0.9446758031845093,0.7803571224212646
12,48,32,41,24,42,55,0.9470553398132324,0.7839285731315613
13,52,32,28,11,35,66,0.9488399624824524,0.800000011920929
14,48,28,42,19,45,54,0.9547888040542603,0.7892857193946838
15,42,35,37,17,40,57,0.9559785723686218,0.7964285612106323
16,42,33,39,17,43,54,0.958358108997345,0.7964285612106323
17,40,34,48,27,45,50,0.9619274139404297,0.7821428775787354
18,40,32,46,25,48,45,0.9678762555122375,0.7892857193946838
19,43,36,36,24,38,53,0.9607376456260681,0.7946428656578064
20,40,35,41,25,41,50,0.9684711694717407,0.7928571701049805
21,52,26,48,25,47,54,0.9631171822547913,0.7749999761581421
22,39,36,44,23,44,52,0.9660916328430176,0.7875000238418579
23,40,33,42,24,39,52,0.9684711694717407,0.7946428656578064
24,42,38,33,23,32,58,0.9726353287696838,0.7982142567634583
25,44,35,38,20,38,59,0.9791790843009949,0.7910714149475098
26,44,28,46,20,49,49,0.9708507061004639,0.7892857193946838
27,31,31,50,30,38,44,0.9773944020271301,0.800000011920929
28,41,30,46,23,45,49,0.9756097793579102,0.7910714149475098
29,35,26,53,22,51,41,0.9702557921409607,0.7964285612106323
30,28,39,43,28,38,44,0.9773944020271301,0.8035714030265808
31,41,29,36,16,40,50,0.9869125485420227,0.8107143044471741
32,30,35,35,27,30,43,0.9767995476722717,0.8214285969734192
33,45,32,38,22,41,52,0.9809637069702148,0.7946428656578064
34,40,35,33,21,36,51,0.9821534752845764,0.8071428537368774
35,56,28,39,18,46,59,0.9809637069702148,0.7803571224212646
36,52,29,40,20,44,57,0.9809637069702148,0.7839285731315613
37,44,25,45,21,45,48,0.9767995476722717,0.7964285612106323
38,39,30,41,24,40,46,0.9875074625015259,0.8035714030265808
39,46,28,35,17,40,52,0.981558620929718,0.8053571581840515
40,44,27,43,20,43,51,0.9738250970840454,0.7964285612106323
41,38,28,43,21,41,47,0.9886972308158875,0.8053571581840515
42,33,32,40,25,36,44,0.9845330119132996,0.8125
43,36,33,46,27,40,48,0.9785841703414917,0.7946428656578064
44,39,30,42,24,40,47,0.9863176941871643,0.8017857074737549
45,46,35,35,22,35,59,0.9797739386558533,0.7928571701049805
46,42,31,36,21,34,54,0.9875074625015259,0.8053571581840515
47,37,32,35,22,35,47,0.9845330119132996,0.8142856955528259
48,36,37,34,22,29,56,0.9875074625015259,0.8089285492897034
49,46,23,44,21,45,47,0.9875074625015259,0.7982142567634583
50,36,32,31,20,31,48,0.9892920851707458,0.8232142925262451
51,52,27,43,19,49,54,0.9869125485420227,0.7821428775787354
52,39,37,35,22,36,53,0.9851279258728027,0.8017857074737549
53,43,32,37,23,39,50,0.9952409267425537,0.800000011920929
