epoch,False Positives (Negative),False Positives (Neutral),False Positives (Positive),False Negatives (Negative),False Negatives (Neutral),False Negatives (Positive),Training Accuracy,Validation Accuracy
1,86,71,34,31,42,118,0.5217132568359375,0.6589285731315613
2,60,47,40,30,43,74,0.7019631266593933,0.737500011920929
3,28,42,88,67,49,42,0.7947649955749512,0.7178571224212646
4,61,30,48,21,56,62,0.854848325252533,0.7517856955528259
5,27,49,93,76,45,48,0.9071980714797974,0.6982142925262451
6,24,43,72,59,35,45,0.9077929854393005,0.7517856955528259
7,33,32,78,51,50,42,0.9119571447372437,0.7446428537368774
8,31,42,66,55,38,46,0.9244497418403625,0.7517856955528259
9,27,32,69,39,48,41,0.9488399624824524,0.7714285850524902
10,40,33,42,20,47,48,0.9547888040542603,0.7946428656578064
11,55,40,43,25,49,64,0.9512194991111755,0.7535714507102966
12,34,37,66,35,57,45,0.9613325595855713,0.7553571462631226
13,32,31,69,47,45,40,0.9589530229568481,0.7642857432365417
14,37,32,61,21,63,46,0.956573486328125,0.7678571343421936
15,43,32,58,24,56,53,0.9547888040542603,0.762499988079071
16,35,41,64,37,48,55,0.9684711694717407,0.75
17,42,32,50,24,47,53,0.958358108997345,0.7785714268684387
18,37,34,60,32,48,51,0.964901864528656,0.7660714387893677
19,38,31,63,28,56,48,0.9643069505691528,0.7642857432365417
20,29,34,56,28,48,43,0.973230242729187,0.7875000238418579
21,40,36,46,27,42,53,0.9708507061004639,0.7821428775787354
22,33,35,66,38,51,45,0.9708507061004639,0.7607142925262451
23,35,35,57,28,52,47,0.9827483892440796,0.7732142806053162
24,38,34,54,34,47,45,0.9744200110435486,0.7749999761581421
25,38,34,55,34,48,45,0.966686487197876,0.7732142806053162
26,32,30,57,31,47,41,0.9720404744148254,0.7875000238418579
27,40,39,37,26,39,51,0.9797739386558533,0.7928571701049805
28,27,34,68,39,48,42,0.9886972308158875,0.7696428298950195
29,35,41,50,33,42,51,0.983343243598938,0.7749999761581421
30,36,37,52,25,50,50,0.9869125485420227,0.7767857313156128
31,45,36,50,27,52,52,0.9762046337127686,0.7660714387893677
32,38,34,50,26,51,45,0.9785841703414917,0.7821428775787354
33,27,32,51,31,40,39,0.9845330119132996,0.8035714030265808
34,33,39,35,26,32,49,0.983343243598938,0.8089285492897034
35,29,40,36,24,35,46,0.9857227802276611,0.8125
36,27,44,41,32,35,45,0.9863176941871643,0.800000011920929
37,39,40,49,28,51,49,0.9803688526153564,0.7714285850524902
38,40,36,35,26,35,50,0.9773944020271301,0.8017857074737549
39,34,34,43,26,42,43,0.9821534752845764,0.8017857074737549
40,40,41,41,30,37,55,0.9827483892440796,0.7821428775787354
41,27,39,47,35,38,40,0.989886999130249,0.7982142567634583
42,26,37,43,30,37,39,0.9904818534851074,0.8107143044471741
43,30,37,47,32,41,41,0.9958358407020569,0.7964285612106323
44,33,38,43,27,41,46,0.9940511584281921,0.7964285612106323
45,35,38,49,29,46,47,0.9910767674446106,0.7821428775787354
46,38,40,49,33,48,46,0.983343243598938,0.7732142806053162
47,32,43,52,40,40,47,0.9904818534851074,0.7732142806053162
