Text,Verdict
ahlstrom headquarter helsinki finland global leader development manufacture market high performance fibre-based materials,neutral
altogether capman employ approximately 150 people helsinki stockholm copenhagen oslo moscow luxembourg,neutral
lithuanian beer makers sell 25688 million liters beer 2005 rise 45 per cent year-earlier figure 24592 million liters,positive
january-september 2007 group 's net sales continue operations rise eur 2131 mn eur 1726 mn correspond period 2006,positive
`` intel atom processor tremendous success marketplace since launch 2 years ago `` say pankaj kedia director global ecosystem program intel corp 's ultra mobility group,positive
24-hour news try icis news wwwiciscom click `` trial `` icis news,neutral
result russia 's import restrictions finnish dairy company cancel 6 august 2010,positive
also strong assets electronic media employ 18500 increase 9 percent last year,positive
contract value amount eur 24 million,neutral
olvi expect sales market share increase first quarter 2010,positive
finnish glass technology company glaston oyj abp net profit decrease 26 mln euro ( $ 38 mln ) first nine months 2007 78 mln euro ( $ 114 mln ) period 2006,negative
member oneworld alliance include american airlines british airways,neutral
emsa deputy chairman board juri lember tell bns wednesday first time hear strike swedish side inform estonian union yet,negative
please inform ir johanna koskinen participation later 20 april 10 telephone conference financial analysts investors conduct english begin 300 pm finnish time ( eet ),neutral
`` neste oil work 20 research communities europe america africa asia australia develop introduce new raw materials,positive
finnish construction company yit corporation plan build 200 high-quality holiday home near tahko ski spa resort finland,positive
viking line 's cargo revenue increase 54 % eur 2146 mn cargo volume increase 24 % 70116 cargo units,positive
operate margin come 24 % 57 %,negative
market expect poor performance company 's stock 6 percent x20ac 2389 us $ 3384 early afternoon trade helsinki,positive
acquisition immediate positive impact aspocomp 's financial result,positive
russia raisio 's food division 's home market stretch way vladivostok,neutral
financial impact estimate annual improvement eur2 0 division 's result fiscal year 2008,positive
operate profit rise eur 135 mn eur 97 mn correspond period 2006,positive
omx helsinki 25 index 092 pct 251867 helsinki cap portfolio index 091 pct higher 471119,positive
addition production varpaisj+ rvi factory stop begin april 2009,negative
budapest august 10 mti - finnish electronics maker elcoteq lay 700 workers plant pecs hungary end september fall order communications director elcoteq 's local unit zoltan krippl tell mti monday,negative
nokia buy chicago-based navteq 2008 acquire map database compete google map well navigation device company tomtom nv garmin ltd,positive
order consist capacity expansion maintenance service new charge functionality company say,neutral
small investors voice fear share end risk investors,negative
administrators indicate need 900 job cut irish insurer next 15 months,negative
operate income rise eur 6964 mn eur 6003 mn 2009,positive
`` group 120 volunteer make digicel employees manage distribution next week distribute 19000 tent 150 organizations `` digicel haiti ceo maarten boute say,neutral
adpnews - feb 5 2010 - finnish real estate investor sponda oyj hel sda1v say today slip net loss eur 815 million usd 118 2009 profit eur 293 million 2008,negative
operate loss increase eur 17mn loss eur 108 mn 2005,negative
adp news - may 29 2009 - bank america bofa downgrade today ratings swedish-finnish paper maker stora enso oyj hel sterv finnish sector player upm-kymmene oyj hel upm1v `` underperf,negative
result expect late 2006,neutral
finnish raute precision supply weigh dose systems plant change name lahti precision,neutral
result tax loss 250 million euros,neutral
finnish aldata solution sign contract supply gold system two french retail chain,positive
profit tax eur 40 mn eur 49 mn,negative
( adpnews ) - may 4 2010 - finnish cutlery hand tool maker fiskars oyj abp ( hel fisas ) say today net profit decline eur 129 million ( usd 17m ) first quarter 2010 eur 17 million correspond,negative
food trade sales amount eur320 1 decline 11 %,negative
fiskars strong portfolio international brand include fiskars iittala gerber silva buster,positive
meanwhile electrowatt-ekono philippines inc also award three-year operation maintenance ( & ) contract fr cement corporation,positive
operate profit rise eur 47 mn eur 46 mn,positive
production expand elcoteq 's locations include mexico hungary 2010,positive
finnish supplier bss-oss vas telecom operators tecnotree receive expansion order worth total us $ 73 mn convergent charge next generation message solutions latin america company announce without specify operators place order,positive
finnish media company talentum oyj 's net profit decrease 25 mln euro ( $ 40 mln ) first quarter 2008 30 mln euro ( $ 47 mln ) period 2007,negative
shock phase ' consumers start plan implement build project,neutral
last year upm cut production close mill finland slash 700 job,negative
reward pay basis earn period 2011 correspond value maximum total 364000 componenta corporation share include also proportion pay cash,neutral
ruukki announce sign agreement aker solutions norway supply 24 suction anchor september 2010 kalajoki unit finland,positive
digia say consolidate net sales january-june 2010 eur67 8 97 % period 2009 ( eur61 9 ),positive
company study feasibility focus process meat production vantaa facilities process fresh meat forssa facilities,neutral
sales seppala diminish 6 per cent,negative
company expect net sales first half 2008 reach previous year 's level,positive
accord atria 's president ceo matti tikkakoski company 's swedish operations significantly improve first quarter,positive
fourth quarter 2008 net sales decrease eur 1214 mn eur 1655 mn fourth quarter 2007,negative
capman partner able develop business continue focus provide quality restaurant service customers `` say christopher wynne ceo papa john 's russia,positive
report oriola-kd 's chief executive officer eero hautaniemi,neutral
study evaluate safety tolerability pharmacokinetics repeat dose intravenously administer antibody 26 patients active plaque psoriasis,neutral
bristol port company seal one million pound contract cooper specialise handle supply four 45-tonne customise reach stackers konecranes,positive
finland bank + land report operate profit fell eur 61 mn second quarter 2008 eur 75 mn second quarter 2007,negative
furthermore bunge also sign license agreement sunnuntai carlshamn mejeri brand,positive
operate profit turnover six-month period increase respectively eur0 1 eur29 0 compare correspond period year ago,positive
st petersburg oct 14 ( prime-tass ) -- finnish tire producer nokian tyres plan invest 50 million euros expansion tire plant city vsevolozhsk russia 's leningrad region 2011 company 's president kim gran tell reporters thursday,positive
rihko start manage raisio 's benecol business summer 2006 head tobacco company altadis ' european operations,neutral
demand brisk expect order level remain high,positive
votorantim celulose e papel ( vcp ) part votorantim group major brazilian conglomerate,neutral
finnish department store chain stockmann oyj abp net profit rise 398 mln euro ( $ 568 mln ) first nine months 2007 374 mln euro ( $ 534 mln ) period 2006,positive
efore 's result last quarter show even faster improvement company manage better source components,positive
liquidity provide interrupt may 11 2007 aspocomp group oyj 's share trade 050 cent ( aspocomp 's stock exchange release 1152007 ),negative
sale price disclose,neutral
go market yield guidance 725 % area give us flexibility go 1-8th,neutral
finnair believe strike cause daily net losses excess eur 2mn due cancel reservations passenger re-routing,negative
market share widen 4851 percent 4831 percent year earlier,positive
company also say november 16 2006 real estate fund ky sign agreement finnish window maker fenestra oy build window plant forssa southern finland,positive
mill concentrate get supercalendered line run satisfactorily restart older newsprint line,neutral
net sales increase eur193 3 eur179 9 pretax profit rise 342 % eur43 1 ( eur1 = usd1 4 ),positive
operate profit fell eur 354 mn eur 688 mn 2007 include vessel sales gain eur 123 mn,negative
helsinki afx - cargotec say buy 95 pct stake indital construction machinery ltd bangalore-based company make fork lift truck mobile crane undisclosed sum,neutral
nordea bank ab publ hold 6000 alma media share represent 0008 % share capital vote right,neutral
company say comparable operate profit january-june period fell short last year 's correspond performance,negative
finnish metso paper award contract rebuild sabah forest industries ' ( sfi ) pulp mill sabah malaysia,positive
finnish meat company atria longer promise sufficient amount domestic beef customers,negative
staff recruit japan complement network close 50 service locations 20 countries worldwide,positive
move trigger weak demand forestry equipment uncertain market situation,negative
olli-pekka laine appoint chairman erkki pehu-lehtonen vice chairman board,neutral
uncertainties still exist however,neutral
transaction double tecnomens workforse add fourth net sales,positive
q1 '10 19 april 2010 - finnish forest machinery equipment maker ponsse oyj hel pon1v say today expect swing net profit eur6 3 first quarter 2010 eur9 6 loss year earlier,positive
agricultural newspaper maaseudun tulevaisuus 318000 readers represent decrease 6 %,negative
finland-based international machinery rental company ramirent plc ( omx helsinki rmr1v ) say friday ( 9 may ) president ceo kari kallio inform board intention retire year 2009,neutral
airline 's share price close slightly ( x20ac ) 1251 ( $ 15us 74 ) helsinki,negative
eps quarter eur0 00 compare eur0 01 third quarter 2008 represent group net sales third quarter eur15 3 28 % compare eur14 9 third quarter 2008,positive
yit construction town riihim+ ki sign lease contract whereby town occupy travel centre office facilities,positive
inaugural speech give hannu kyrolainen finland 's ambassador czech republic,neutral
operate loss total eur 08 mn compare profit eur 05 mn,negative
` separate side businesses able faster expand develop tapro retail network,positive
operate nokia support nokia netact network service management system,neutral
platen edge contact band provide seal protrusion direct towards middle area platen mean provide exert maintain pressure volume define platen band seal ``,neutral
finnish business delegation include representatives 20 company include nokia corp finnfund outokumpu oyj oko bank alteams oy cargotec corp,neutral
yit capital market day materials available company 's internet site wwwyitgroupcom/investors 1030 september 26,neutral
comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers deliver service flexibly charge effectively,neutral
acquisitions make businesses well integrate,positive
past 10 years factory produce many nokia 's popular model include nokia 2760 nokia 6300 well nokia 's latest music device nokia 5800 express music,neutral
hack extra nefarious tweet activate without click - enough web surfers move mouse cursors,negative
finnish forest machinery manufacturer ponsse issue profit warn,negative
company expect net sales whole 2007 eur 950mn-1 000 mn,neutral
ahlstrom corporation seppo parvi cfo distribution main media wwwahlstromcom ahlstrom brief ahlstrom global leader development manufacture market high performance nonwovens specialty paper,neutral
`` change optimize operational efficiencies grow business `` say julia prohaska director market communications fiskars,positive
innova 2 build locate close downtown immediate vicinity paviljonki travel center within walk distance heart city thank trade fair bridge,neutral
finnish suominen corporation specialise wet wipe nonwovens flexible package report net sales eur 441 mn second quarter 2010 eur 433 mn second quarter 2009,positive
net sales eat weak us dollar,negative
demand seem hit bottom sign improvement see,positive
compagnie de financement foncier - issue benchmark 10 year cover deal euros,neutral
operate profit eur 245 mn eur 230 mn,positive
finnish laboratory liquid handle diagnostic test systems developer biohit oyj omx helsinki biobv issue tuesday 3 june profit warn financial year 2008,negative
cargotec 's business areas also include container handle solutions business area kalmar marine cargo handle offshore load handle solutions business area macgregor,neutral
ragutis control finnish brewery report 54-per-cent rise beer sales 1044 million litres hold 1109-per-cent market share,positive
capitex kalmar continue responsible maintenance technical development service,neutral
group also strong global position fish categories,positive
export account 654 % net sales represent time record company,positive
insurer axa ( par cs ) slide 535 % eur 1415 citigroup ing slash target stock,negative
ruukki 's order book end 2010 30 % year-on-year 10 % quarter-on-quarter,positive
share 14747084 hold company number outstanding share vote right attach share amount thus 161256847,neutral
ferry run trouble outside stockholm archipelago make 20000 islands,negative
competition receive great enthusiasm employees go,positive
operate profit fourth quarter fell eur33m eur39m year earlier,negative
incap contract manufacture carry manufacture agreements factory tumkur near bangalore,neutral
finland 's national carrier finnair plc carry record 85 million passengers 2005 increase 45 percent previous year airline report tuesday,positive
profit tax decrease 9 % eur 1878 mn first nine months 2008 compare eur 2071 mn year earlier,negative
look forward contribute srv 's success competence `` say taneli hassinen,positive
mercator use software logistic retail wholesale operations slovenia market southeastern europe,neutral
solution demonstrate tablet develop aava mobile multi-window system enable use several applications simultaneously example view message calendar side side,neutral
build home improvement trade sales decrease 63 % total eur 1541 mn,negative
